schema_version,date,outbound_fewest_stops_price,outbound_fewest_stops_airline,outbound_fewest_stops_stops,outbound_fewest_stops_duration,outbound_cheapest_price,outbound_cheapest_airline,outbound_cheapest_stops,outbound_cheapest_duration,return_fewest_stops_price,return_fewest_stops_airline,return_fewest_stops_stops,return_fewest_stops_duration,return_cheapest_price,return_cheapest_airline,return_cheapest_stops,return_cheapest_duration,outbound_pe_fewest_stops_price,outbound_pe_fewest_stops_airline,outbound_pe_fewest_stops_stops,outbound_pe_fewest_stops_duration,outbound_pe_cheapest_price,outbound_pe_cheapest_airline,outbound_pe_cheapest_stops,outbound_pe_cheapest_duration,return_pe_fewest_stops_price,return_pe_fewest_stops_airline,return_pe_fewest_stops_stops,return_pe_fewest_stops_duration,return_pe_cheapest_price,return_pe_cheapest_airline,return_pe_cheapest_stops,return_pe_cheapest_duration
1,2026-05-16,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,728,Qatar Airways,1,1455,728,Qatar Airways,1,1455,,,,,,,,,,,,,,,,
2,2026-05-17,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,728,Qatar Airways,1,1455,728,Qatar Airways,1,1455,2027,American,1,1925,1770,Condor,2,2660,1442,Condor,1,1550,1442,Condor,1,1550
2,2026-05-18,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,729,Qatar Airways,1,1455,729,Qatar Airways,1,1455,2027,American,1,1925,1770,Condor,2,2660,1440,Condor,1,1550,1440,Condor,1,1550
2,2026-05-19,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,742,Qatar Airways,1,1455,742,Qatar Airways,1,1455,2026,British Airways,1,1820,1670,Condor,2,2580,1445,Condor,1,1550,1445,Condor,1,1550
2,2026-05-20,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,671,Qatar Airways,1,1455,671,Qatar Airways,1,1455,2026,American,1,1780,1580,Condor,2,2580,1447,Condor,1,1550,1447,Condor,1,1550
2,2026-05-21,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,677,Qatar Airways,1,1455,677,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1442,Condor,1,1550,1442,Condor,1,1550
2,2026-05-22,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,675,Qatar Airways,1,1455,675,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1441,Condor,1,1550,1441,Condor,1,1550
2,2026-05-23,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,655,Qatar Airways,1,1455,655,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1439,Condor,1,1550,1439,Condor,1,1550
2,2026-05-24,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,655,Qatar Airways,1,1455,655,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1439,Condor,1,1550,1439,Condor,1,1550
2,2026-05-25,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,677,Qatar Airways,1,1455,677,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1446,Condor,1,1550,1446,Condor,1,1550
2,2026-05-27,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,670,Qatar Airways,1,1455,670,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1446,Condor,1,1550,1446,Condor,1,1550
2,2026-05-28,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,669,Qatar Airways,1,1455,669,Qatar Airways,1,1455,2037,British Airways,1,1580,1580,Condor,2,2580,1443,Condor,1,1550,1443,Condor,1,1550
2,2026-05-29,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,676,Qatar Airways,1,1455,676,Qatar Airways,1,1455,2027,British Airways,1,1580,1580,Condor,2,2580,1445,Condor,1,1550,1445,Condor,1,1550
2,2026-05-30,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,712,Qatar Airways,1,1455,712,Qatar Airways,1,1455,2027,British Airways,1,1580,1580,Condor,2,2580,1446,Condor,1,1550,1446,Condor,1,1550
2,2026-05-31,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,710,Qatar Airways,1,1455,710,Qatar Airways,1,1455,2027,British Airways,1,1580,1580,Condor,2,2580,1447,Condor,1,1550,1447,Condor,1,1550
2,2026-06-01,839,Turkish Airlines,1,1300,839,Turkish Airlines,1,1300,712,Qatar Airways,1,1455,712,Qatar Airways,1,1455,2027,British Airways,1,1580,1580,Condor,2,2580,1444,Condor,1,1550,1444,Condor,1,1550
2,2026-06-02,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,710,Qatar Airways,1,1455,710,Qatar Airways,1,1455,2027,British Airways,1,1580,1580,Condor,2,2580,1449,Condor,1,1550,1449,Condor,1,1550
2,2026-06-03,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,709,Qatar Airways,1,1485,709,Qatar Airways,1,1485,2027,British Airways,1,1580,1580,Condor,2,2580,1442,Condor,1,1550,1442,Condor,1,1550
2,2026-06-04,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,708,Qatar Airways,1,1485,708,Qatar Airways,1,1485,2027,British Airways,1,1580,1580,Condor,2,2580,1448,Condor,1,1550,1448,Condor,1,1550
2,2026-06-05,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,711,Qatar Airways,1,1485,711,Qatar Airways,1,1485,2027,British Airways,1,1580,1580,Condor,2,2580,1447,Condor,1,1550,1447,Condor,1,1550
2,2026-06-06,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,697,Qatar Airways,1,1895,697,Qatar Airways,1,1895,1915,SWISS,1,1850,1580,Condor,2,2580,1429,Condor,1,1550,1429,Condor,1,1550
2,2026-06-07,536,Qatar Airways,1,1540,536,Qatar Airways,1,1540,697,Qatar Airways,1,1895,697,Qatar Airways,1,1895,1915,SWISS,1,1850,1580,Condor,2,2580,1429,Condor,1,1550,1429,Condor,1,1550
2,2026-06-08,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,701,Qatar Airways,1,1895,701,Qatar Airways,1,1895,1915,SWISS,1,1850,1580,Condor,2,2580,1430,Condor,1,1550,1430,Condor,1,1550
2,2026-06-09,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,713,Qatar Airways,1,1485,713,Qatar Airways,1,1485,1915,SWISS,1,1850,1570,Condor,2,2580,1431,Condor,1,1550,1431,Condor,1,1550
2,2026-06-10,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,706,Qatar Airways,1,1485,706,Qatar Airways,1,1485,1915,SWISS,1,1850,1570,Condor,2,2580,1430,Condor,1,1550,1430,Condor,1,1550
2,2026-06-11,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,707,Qatar Airways,1,1455,707,Qatar Airways,1,1455,1915,SWISS,1,1850,1570,Condor,2,2580,1430,Condor,1,1550,1430,Condor,1,1550
2,2026-06-12,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,720,Qatar Airways,1,1455,720,Qatar Airways,1,1455,1893,SWISS,1,1850,1510,Condor,2,2580,1381,Condor,1,1550,1381,Condor,1,1550
2,2026-06-13,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,714,Qatar Airways,1,1455,714,Qatar Airways,1,1455,1893,SWISS,1,1850,1510,Condor,2,2580,1378,Condor,1,1550,1378,Condor,1,1550
2,2026-06-14,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,714,Qatar Airways,1,1485,714,Qatar Airways,1,1485,1893,SWISS,1,1850,1510,Condor,2,2580,1377,Condor,1,1550,1377,Condor,1,1550
2,2026-06-15,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,720,Qatar Airways,1,1485,720,Qatar Airways,1,1485,1893,SWISS,1,1850,1510,Condor,2,2580,1382,Condor,1,1550,1382,Condor,1,1550
2,2026-06-16,539,Qatar Airways,1,2080,539,Qatar Airways,1,2080,714,Qatar Airways,1,1895,714,Qatar Airways,1,1895,1893,SWISS,1,1850,1520,Condor,2,2580,1380,Condor,1,1550,1380,Condor,1,1550
2,2026-06-17,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,706,Qatar Airways,1,1895,706,Qatar Airways,1,1895,1893,SWISS,1,1850,1520,Condor,2,2580,1380,Condor,1,1550,1380,Condor,1,1550
2,2026-06-18,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,698,Qatar Airways,1,1895,698,Qatar Airways,1,1895,1893,SWISS,1,1850,1570,Condor,2,2580,1365,Condor,1,1550,1365,Condor,1,1550
2,2026-06-19,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,698,Qatar Airways,1,1895,698,Qatar Airways,1,1895,1893,SWISS,1,1850,1560,Condor,2,2580,1365,Condor,1,1550,1365,Condor,1,1550
2,2026-06-20,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,761,Emirates,1,1515,761,Emirates,1,1515,1893,SWISS,1,1850,1560,Condor,2,2580,1366,Condor,1,1550,1366,Condor,1,1550
2,2026-06-21,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,761,Emirates,1,1515,761,Emirates,1,1515,1893,SWISS,1,1850,1560,Condor,2,2580,1366,Condor,1,1550,1366,Condor,1,1550
2,2026-06-22,536,Qatar Airways,1,1550,536,Qatar Airways,1,1550,708,Qatar Airways,1,1455,708,Qatar Airways,1,1455,1893,SWISS,1,1850,1560,Condor,2,2580,1367,Condor,1,1550,1367,Condor,1,1550
